UID         PID   PPID  C STIME TTY          TIME CMD
root        999      1  0  2022 ?        00:00:57 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root       1022      1  0  2022 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
chrony     1045      1  0  2022 ?        00:02:21 /usr/sbin/chronyd
root       1180      2  0  2022 ?        00:00:09 [kworker/5:1H]
root       1181      2  0  2022 ?        00:00:08 [kworker/8:1H]
root       1182      2  0  2022 ?        00:00:08 [kworker/6:1H]
root       1254      1  0  2022 ?        00:56:11 /usr/bin/python -Es /usr/sbin/tuned -l -P
nobody     1260      1  0  2022 ?        1-23:57:50 /usr/local/bin/node_exporter
zabbix     1334      1  0  2022 ?        00:00:00 /usr/sbin/zabbix_agentd -c /etc/zabbix/zabbix_agentd.conf
root       1374      1  0  2022 ?        00:00:00 vm-agent
zabbix     1382   1334  0  2022 ?        05:03:46 /usr/sbin/zabbix_agentd: collector [idle 1 sec]
root       1383   1374  0  2022 ?        06:58:26 vm-agent
zabbix     1384   1334  0  2022 ?        02:11:02 /usr/sbin/zabbix_agentd: listener #1 [waiting for connection]
zabbix     1385   1334  0  2022 ?        02:07:21 /usr/sbin/zabbix_agentd: listener #2 [waiting for connection]
zabbix     1387   1334  0  2022 ?        02:08:17 /usr/sbin/zabbix_agentd: listener #3 [waiting for connection]
zabbix     1389   1334  0  2022 ?        00:18:18 /usr/sbin/zabbix_agentd: active checks #1 [idle 1 sec]
root       1587      1  0  2022 ?        00:03:08 /usr/libexec/postfix/master -w
postfix    1589   1587  0  2022 ?        00:00:58 qmgr -l -t unix -u
root       1748      2  0  2022 ?        00:00:08 [kworker/15:1H]
root       1763      2  0  2022 ?        00:00:07 [kworker/2:1H]
root       1883      2  0  2022 ?        00:00:09 [kworker/3:1H]
root       1913      2  0  2022 ?        00:00:07 [kworker/14:1H]
root       1934      2  0  2022 ?        00:00:07 [kworker/11:1H]
root       2087      2  0  2022 ?        00:00:07 [kworker/12:1H]
root       6020      2  0  2022 ?        00:00:07 [kworker/13:1H]
root       8656      2  0 4月28 ?       00:00:13 [kworker/u508:2]
root       8886      2  0 13:00 ?        00:00:00 [kworker/13:0]
root       9090      2  0  2022 ?        00:00:08 [kworker/9:1H]
root      15533      2  0 5月04 ?       00:00:01 [kworker/11:1]
root      18494      2  0 14:50 ?        00:00:00 [kworker/4:0]
